REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,CATEGORY,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
413,Yemen,YEM,Middle East and North Africa,11/1/2008,11/1/2010,2008,Flash Floods,flashfloods,Natural Hydrometeorologic hydrological,Emergency appeal,10500,1997283
365,Kenya,KEN,Africa,11/7/2008,5/7/2009,2008,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,300000,6179533
342,Morocco,MAR,Middle East and North Africa,11/7/2008,4/30/2009,2008,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,10000,1618182
336,Nigeria,NGA,Africa,11/10/2008,2/7/2009,2008,Population Movement,populationmovement,Human related,Emergency appeal,2500,691687
364,VietNam,VNM,Asia Pacific,11/12/2008,9/12/2009,2008,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,293860,4779038
269,Colombia,COL,Americas,2/1/2009,10/1/2009,2009,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,25000,486453
277,Namibia,NAM,Africa,3/1/2009,8/1/2009,2009,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,33000,2121518
267,Tanzania,TZA,Africa,4/1/2009,8/1/2009,2009,Explosions,explosions,Technological Industrial accident,Emergency appeal,18866,545134
251,Tajikistan,TJK,Europe,5/1/2009,6/1/2010,2009,Mudslides and floods,mudslidesandfloods,Natural Hydrometeorologic hydrological,Emergency appeal,4320,892624
287,Bangladesh,BGD,Asia Pacific,6/1/2009,3/1/2010,2009,Cyclone Aila,cycloneaila,Natural Hydrometeorologic meteorological,Emergency appeal,178550,1153737
258,Central African Republic,CAF,Africa,8/1/2009,1/1/2010,2009,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,6000,805260
290,Syria,SYR,Middle East and North Africa,8/1/2009,12/1/2010,2009,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,280000,3255615
307,Burkina Faso,BFA,Africa,9/1/2009,9/1/2010,2009,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,40000,3500000
284,Indonesia,IDN,Asia Pacific,9/1/2009,9/1/2011,2009,West Sumatra earthquake ,westsumatraearthquake,Natural Geophysical,Emergency appeal,100000,14219542
281,Sudan,SDN,Africa,9/1/2009,3/1/2010,2009,Khartoum state Floods,khartoumstatefloods,Natural Biological,Emergency appeal,60000,1950241
265,Senegal,SEN,Africa,9/1/2009,3/1/2010,2009,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,25000,2113583
288,Philippines,PHL,Asia Pacific,10/1/2009,11/1/2011,2009,Thyphoons,thyphoons,Natural Hydrometeorologic meteorological,Emergency appeal,233500,12724570
289,VietNam,VNM,Asia Pacific,10/1/2009,10/1/2010,2009,Floods and typhoons,floodsandtyphoons,Natural Hydrometeorologic hydrological and meteorological,Emergency appeal,270000,4464332
252,Samoa,WSM,Asia Pacific,10/1/2009,5/1/2011,2009,Earthquake and Tsunami,earthquakeandtsunami,Natural Geophysical,Emergency appeal,5000,2506427
279,Pakistan,PAK,Asia Pacific,10/29/2009,5/18/2009,2009,Baluchistan Earthquake,baluchistanearthquake,Natural Geophysical,Emergency appeal,40000,2499553
320,El Salvador,SLV,Americas,11/1/2009,12/1/2010,2009,Floods,floods,Natural Hydrometeorologic hydrological ,Emergency appeal,10000,1680178
218,Haiti,HTI,Americas,1/1/2010,12/1/2014,2010,Earthquake,earthquake,Natural Geophysical,Emergency appeal,400000,247279612
220,Syria,SYR,Middle East and North Africa,1/1/2010,12/1/2010,2010,Population Displaced From Iraq,populationdisplacedfromiraq,Human related,Emergency appeal,68000,3216107
132,Tanzania,TZA,Africa,1/1/2010,12/1/2011,2010,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,23000,923594
217,Chile,CHL,Americas,2/1/2010,3/1/2013,2010,Earthquake,earthquake,Natural Geophysical,Emergency appeal,50000,16075870
175,Ethiopia,ETH,Africa,2/1/2010,8/1/2011,2010,Severe Food Shortages,severefoodshortages,Human related,Emergency appeal,202651,30579088
129,Kenya,KEN,Africa,3/1/2010,4/1/2011,2010,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,293000,2056046
210,Mongolia,MNG,Asia Pacific,3/1/2010,10/1/2010,2010,Severe Winter,severewinter,Natural Hydrometeorologic climatological,Emergency appeal,13600,1312670
125,Niger,NER,Africa,3/1/2010,6/1/2011,2010,Food Insecurity ,foodinsecurity,Human related,Emergency appeal,29890,3670686
178,Pakistan,PAK,Asia Pacific,3/1/2010,7/1/2010,2010,Internally displaced people,internallydisplacedpeople,Human related,Emergency appeal,42000,3635713
176,Sri Lanka,LKA,Asia Pacific,4/1/2010,7/1/2012,2010,Support for internally displaced people,supportforinternallydisplacedpeople,Human related,Emergency appeal,25000,3604299
213,Chad,TCD,Africa,4/1/2010,12/1/2010,2010,Food Crisis,foodcrisis,Human related,Emergency appeal,400425,1252369
181,Indonesia,IDN,Asia Pacific,5/1/2010,10/1/2011,2010,Yogyakarta Earthquake,yogyakartaearthquake,Natural Geophysical,Emergency appeal,325000,32667430
207,Kenya,KEN,Africa,5/1/2010,10/1/2010,2010,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,141164,8757898
131,Nepal,NPL,Asia Pacific,5/1/2010,2/1/2011,2010,Potential diarrhoea outbreak ,potentialdiarrhoeaoutbreak,Natural Biological,Emergency appeal,312000,738960
112,Guatemala,GTM,Americas,6/1/2010,5/1/2011,2010,Tropical storm agatha,tropicalstormagatha,Natural Hydrometeorologic meteorological,Emergency appeal,7500,1286382
209,Kyrgyzstan,KGZ,Europe,6/1/2010,5/1/2011,2010,Civil Unrest,civilunrest,Human related,Emergency appeal,5265,965069
208,Uzbekistan,UZB,Europe,6/1/2010,12/1/2010,2010,Population movement,populationmovement,Human related,Emergency appeal,100000,1166159
219,Pakistan,PAK,Asia Pacific,8/1/2010,7/1/2011,2010,Moonson Floods,moonsonfloods,Natural Hydrometeorologic hydrological,Emergency appeal,1600000,129768678
127,Indonesia,IDN,Asia Pacific,10/1/2010,6/1/2011,2010,"Java eruption, Sumatra earthquake and tsunami ",javaeruptionsumatraearthquakeandtsunami,Natural Geophysical,Emergency appeal,103750,5038981
123,Philippines,PHL,Asia Pacific,10/1/2010,7/1/2011,2010,Typhoon Megi ,typhoonmegi,Natural Hydrometeorologic meteorological,Emergency appeal,60000,4183640
124,Sudan,SDN,Africa,10/1/2010,3/1/2011,2010,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,51354,2318438
128,Chad,TCD,Africa,10/1/2010,3/1/2011,2010,Flood and Cholera ,floodandcholera,Natural Hydrometeorologic and Biological,Emergency appeal,31675,1283953
115,Vietnam,VNM,Asia Pacific,10/1/2010,9/1/2011,2010,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,28500,1070620
114,Panama,PAN,Americas,11/1/2010,6/1/2011,2010,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,12725,701023
116,Panama,PAN,Americas,11/1/2010,1/1/2011,2010,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,12725,701023
120,Serbia,SRB,Europe,11/1/2010,6/1/2011,2010,Earthquake,earthquake,Natural Geophysical,Emergency appeal,8000,409759
121,Sudan,SDN,Africa,12/1/2010,1/1/2011,2010,Preparedness for Civil Unrest ,preparednessforcivilunrest,Human related,Emergency appeal,105000,3030275
221,Venezuela,VEN,Americas,12/1/2010,8/1/2011,2010,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,12500,575146
101,Kenya,KEN,Africa,1/1/2011,10/1/2012,2011,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,1000000,30438354
77,Sri Lanka,LKA,Asia Pacific,1/1/2011,1/1/2012,2011,Floods and landslides,floodsandlandslides,Natural Hydrometeorologic hydrological,Emergency appeal,75000,4622804
58,Kenya,KEN,Africa,2/1/2011,3/1/2011,2011,Population Movement ,populationmovement,Human related,Emergency appeal,20000,3586228
79,Cameroon,CMR,Africa,4/1/2011,3/1/2012,2011,cholera Outbreak,choleraoutbreak,Natural Biological,Emergency appeal,87500,1361331
67,Namibia,NAM,Africa,4/1/2011,9/1/2011,2011,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,37457,1811530
108,Bangladesh,BGD,Asia Pacific,7/1/2011,12/1/2011,2011,Monsoon Floods,monsoonfloods,Natural Hydrometeorologic hydrological,Emergency appeal,7300000,2148592
89,South Sudan,SSD,Africa,7/1/2011,2/1/2012,2011,Complex emergency,complexemergency,Human related,Emergency appeal,173000,6188106
88,Ethiopia,ETH,Africa,9/1/2011,8/1/2012,2011,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,570000,28408085
82,Pakistan,PAK,Asia pacific,9/1/2011,3/1/2012,2011,Floods 2011,floods2011,Natural Hydrometeorologic hydrological,Emergency appeal,105000,5304193
86,Somalia,SOM,Africa,9/1/2011,12/1/2012,2011,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,150000,4158792
59,Tanzania,TZA,Africa,9/1/2011,9/1/2012,2011,Drought and Food insecurity,droughtandfoodinsecurity,Natural Hydrometeorologic climatological and Human related,Emergency appeal,20000,1352126
45,Ethiopia,ETH,Africa,10/1/2011,4/1/2012,2011,Population movement,populationmovement,Human related,Emergency appeal,10000,684476
35,Guatemala,GTM,Americas,10/1/2011,7/1/2012,2011,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,7500,715933
44,El Salvador,SLV,Americas,10/1/2011,6/1/2012,2011,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,10000,1174119
78,Kenya,KEN,Africa,11/1/2011,11/1/2012,2011,Population movement,populationmovement,Human related,Emergency appeal,110000,26854197
84,Philippines,PHL,Asia pacific,11/1/2011,9/1/2012,2011,Typhoon Nesat,tropicalstorm,Natural Hydrometeorologic meteorological,Emergency appeal,125000,3550719
90,Chad,TCD,Africa,11/1/2011,2/1/2012,2011,Cholera,epidemic,Natural Biological,Emergency appeal,200000,1854041
71,Turkey,TUR,Europe,11/1/2011,11/1/2012,2011,Van Earthquake,earthquake,Natural Geophysical,Emergency appeal,60000,9402445
69,Vietnam,VNM,Asia Pacific,11/1/2011,10/1/2012,2011,Mekong Delta floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,42000,1107185
47,Mauritania,MRT,Africa,12/1/2011,12/1/2012,2011,Food insecurity,food,Human related,Emergency appeal,10000,2131749
93,Niger,NER,Africa,12/1/2011,10/1/2012,2011,Food insecurity,food,Human related,Emergency appeal,350000,3756836
75,Philippines,PHL,Asia Pacific,12/1/2011,1/1/2012,2011,Tropical Storm Washi,tropicalstormwashi,Natural Hydrometeorologic meteorological,Emergency appeal,100000,5705280
773,Colombia,COL,Americas,1/1/2004,12/1/2004,2004,Earthquake Edan,earthquakeedan,Natural Geophysical,Information bulletin,8016,50000
747,Tanzania,TZA,Africa,1/1/2004,12/1/2004,2004,Food emergency,foodemergency,Human related,Information bulletin,89000,
749,Djibouti,DJI,Africa,1/2/2004,12/2/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,3000,
743,Bangladesh,BGD,Asia Pacific,4/1/2004,12/1/2004,2004,Tornado,tornado,Natural Hydrometeorologic meteorological,Information bulletin,10000,42000
751,Zambia,ZMB,Africa,4/1/2004,12/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,20000,20000
753,Kenya,KEN,Africa,5/1/2004,12/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,7886,
745,Togo,TGO,Africa,5/1/2004,12/1/2004,2004,cholera,cholera,Natural Biological,Information bulletin,missing data,47000
756,Ukraine,UKR,Europe,5/1/2004,12/1/2004,2004,Explosion Of Ammunition Depot,explosionofammunitiondepot,Technological Industrial accident ,Information bulletin,600,10000
752,Colombia,COL,Americas,7/1/2004,12/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,34622,50000
754,Nicaragua,NIC,Americas,7/1/2004,12/1/2004,2004,Mudslides,mudslides,Natural Hydrometeorologic hydrological,Information bulletin,5751,
755,China,CHN,Asia Pacific,8/1/2004,10/1/2004,2004,Flooding,flooding,Natural Hydrometeorologic hydrological,Information bulletin,10000,200000
759,Egypt,EGY,Middle East and North Africa,8/1/2004,12/1/2004,2004,Palestinian Refugees,palestinianrefugees,Human related,Information bulletin,2500,75000
771,Panama,PAN,Americas,8/1/2004,1/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,50000
767,Paraguay,PRY,Americas,8/1/2004,3/1/2005,2004, Fire,fire,Human related,Information bulletin,3000,9300
762,Panama,PAN,Americas,9/1/2004,12/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,50000
764,Rwanda,RWA,Africa,10/1/2004,4/1/2005,2004,People fleeing Burndi,peoplefleeingburndi,Human related,Information bulletin,3250,50000
768,Senegal,SEN,Africa,10/1/2004,12/1/2004,2004,Cholera,cholera,Natural Biological,Information bulletin,475,27000
772,Albania,ALB,Europe,11/1/2004,1/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,80427
769,Central African Republic,CAF,Africa,11/1/2004,2/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,500,20000
770,Costa Rica,CRI,Americas,11/1/2004,11/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,5000,40000
774,Zambia,ZMB,Africa,12/1/2004,2/1/2004,2004,Cholera Outbreak,choleraoutbreak,Natural Biological,Information bulletin,5865,50000
682,Albania,ALB,Africa,2/1/2005,5/1/2005,2005,Snowfalls,snowfalls,Natural Hydrometeorologic climatological,Information bulletin,2500,
713,Venezuela,VEN,Americas,2/1/2005,,2005,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,5000,
690,Chad,TCD,Europe,7/1/2005,2/1/2006,2005,Central African refugees,centralafricanrefugees,Human related,Information bulletin,missing data,
609,Iran,IRN,Middle East and North Africa,4/1/2006,,2006,Doroud Earthquake,doroudearthquake,Natural Hydrometeorologic hydrological,Information bulletin,,
758,Sudan,SDN,Africa,6/1/2004,12/1/2004,2004,darfur,darfur,not known,Report not found,,
766,Tajikistan,TJK,Europe,7/1/2004,11/1/2004,2004,Water & Sanitation,watersanitation,not known,Report not found,,
760,Uganda,UGA,Africa,8/1/2004,12/1/2004,2004,Youth Alliance,youthalliance,not known,Report not found,,
686,Bosnia and Herzegovina,BIH,Africa,2/1/2005,3/1/2005,2005,Snowfalls,snowfalls,Natural Hydrometeorologic climatological,Report not found,,
697,El Salvador,SLV,Americas,5/1/2005,12/1/2005,2005,Tropical Storm Adrian,tropicalstormadrian,Natural Hydrometeorologic meteorological,Report not found,,
707,Russia,RUS,Europe,11/1/2005,5/1/2005,2005,Avian flu,avianflu,Natural Biological,Report not found,,
712,Ukraine,UKR,Europe,12/1/2005,1/1/2006,2005,avian flu awareness campaign,avianfluawarenesscampaign,Natural Biological,Report not found,,
