REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
2,Burundi,BDI,Africa,4/1/2011,5/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,695,29829
4,Russia,RUS,Europe,7/1/2011,1/1/2012,2011,Boat Accident ,Technological Transport accident ,DREF,1000,25358
6,Malta,MLT,Europe,2/1/2011,4/1/2011,2011,Population movement,Human related,DREF,1000,83603
7,Tanzania,TZA,Africa,3/1/2011,4/1/2011,2011,Explosion,Technological Industrial accident,DREF,1000,36210
9,Iraq,IRQ,Middle East and North Africa,4/1/2011,8/1/2011,2011,Flash Floods,Natural Hydrometeorologic hydrological,DREF,1000,165385
10,Gabon,GAB,Africa,1/1/2011,4/1/2011,2011,Violent wind and floods ,Natural Hydrometeorologic hydrological and climatological,DREF,1015,96960
13,Uganda,UGA,Africa,5/1/2011,9/1/2011,2011,Political disturbances,Human related,DREF,1500,99879
14,Central African Republic,CAF,Africa,6/2/2011,10/1/2011,2011,Violent Winds in Bangui,Natural Hydrometeorologic climatological,DREF,1626,114935
15,Georgia,GEO,Europe,6/1/2011,12/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,1750,59960
16,Central African Republic,CAF,Africa,10/1/2011,2/1/2012,2011,Floods in Bangui and Paoua,Natural Hydrometeorologic hydrological,DREF,1765,166245
17,Rwanda,RWA,Africa,5/1/2011,7/1/2011,2011,Heavy rainstorms and floods ,Natural Hydrometeorologic hydrological and meteorological,DREF,1860,149759
20,Honduras,HND,Americas,11/1/2011,1/1/2012,2011,Tropical Depression 12-E,Natural Hydrometeorologic meteorological,DREF,4000,220262
21,Senegal,SEN,Africa,12/1/2011,3/1/2012,2011,Food Insecurity,Human related,DREF,4000,166428
22,Laos,LAO,Asia Pacific,7/1/2011,1/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5000,329788
23,Tunisia,TUN,Middle East and North Africa,1/1/2011,5/1/2011,2011,Civil unrest ,Human related,DREF,5000,150000
24,Chile,CHL,Americas,8/1/2011,11/1/2011,2011,Severe Winter,Natural Hydrometeorologic climatological,DREF,5000,146890
25,Dominican Republic,DOM,Americas,9/1/2011,12/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5000,81845
26,India,IND,Asia Pacific,10/1/2011,12/1/2011,2011,Sikkim Earthquake,Natural Geophysical,DREF,5000,97137
27,Nicaragua,NIC,Americas,10/1/2011,1/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5000,235352
28,Senegal,SEN,Africa,8/1/2011,10/1/2011,2011,Floods in Thies,Natural Hydrometeorologic hydrological,DREF,5000,192662
29,Russia,RUS,Europe,9/1/2011,12/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5174,77905
31,Benin,BEN,Africa,7/1/2011,7/1/2010,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5840,167241
32,Paraguay,PRY,Americas,8/1/2011,2/1/2012,2011,Hailstorms,Natural Hydrometeorologic hydrological,DREF,5873,185603
33,Nigeria,NGA,Africa,5/1/2011,10/1/2011,2011,Civil Unrest,Human related,DREF,7500,246829
34,Myanmar,MMR,Asia Pacific,3/1/2011,8/1/2011,2011,Earthquake,Natural Geophysical,DREF,7500,157534
35,Guatemala,GTM,Americas,10/1/2011,7/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,7500,715933
36,Guinea,GIN,Africa,9/1/2011,11/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,7500,261008
37,Mali,MLI,Africa,8/1/2011,11/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,7500,264684
38,Nepal,NPL,Asia pacific,9/1/2011,1/1/2012,2011,Earthquake,Natural Geophysical,DREF,7500,172417
39,South Africa,ZAF,Africa,1/1/2011,4/1/2011,2011,Floods ,Natural Hydrometeorologic hydrological,DREF,8870,177585
40,Nigeria,NGA,Africa,7/1/2011,11/1/2011,2011,Flash Floods,Natural Hydrometeorologic hydrological,DREF,9000,289282
41,Russia,RUS,Europe,6/1/2011,9/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,9000,149420
42,Egypt,EGY,Middle East and North Africa,2/1/2011,6/1/2011,2011,Unrest,Human related,DREF,10000,107672
43,Lesotho,LSO,Africa,2/1/2011,5/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,10000,244036
44,El Salvador,SLV,Americas,10/1/2011,6/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,10000,1174119
45,Ethiopia,ETH,Africa,10/1/2011,4/1/2012,2011,Population movement,Human related,Emergency appeal,10000,684476
46,Myanmar,MMR,Asia pacific,9/1/2011,3/1/2012,2011,Magway Floods,Natural Hydrometeorologic hydrological,DREF,10000,165670
47,Mauritania,MRT,Africa,12/1/2011,12/1/2012,2011,Food insecurity,Human related,Emergency appeal,10000,2131749
49,Niger,NER,Africa,8/1/2011,2/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,11200,250491
52,Costa Rica,CRI,Americas,10/1/2011,1/1/2012,2011,Tropical Depression 12-E,Natural Hydrometeorologic meteorological,DREF,12500,94374
53,Vanuatu,VUT,Asia Pacific,2/1/2011,5/1/2011,2011,Tropical Cyclone Vania,Natural Hydrometeorologic meteorological,DREF,14530,90322
54,Mozambique,MOZ,Africa,1/1/2011,4/1/2011,2011,Floods and Cholera ,Natural Hydrometeorologic and Biological,DREF,15000,345207
55,Niger,NER,Africa,10/1/2011,1/1/2012,2011,Cholera,Natural Biological,DREF,15000,181335
56,Madagascar,MDG,Africa,2/1/2011,6/1/2011,2011,Cyclone Bingiza ,Natural Hydrometeorologic meteorological,DREF,15500,305275
58,Kenya,KEN,Africa,2/1/2011,3/1/2011,2011,Population Movement ,Human related,Emergency appeal,20000,3586228
59,Tanzania,TZA,Africa,9/1/2011,9/1/2012,2011,Drought and Food insecurity,Natural Hydrometeorologic climatological and Human related,Emergency appeal,20000,1352126
60,Tanzania,TZA,Africa,12/1/2011,3/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,20000,203042
61,Kenya,KEN,Africa,12/1/2011,4/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,21000,300003
62,Kenya,KEN,Africa,3/1/2011,4/1/2011,2011,Fires,Natural Hydrometeorologic climatological,DREF,23335,205575
64,Chad,TCD,Africa,12/2/2011,3/2/2012,2011,Food Insecurity,Human related,DREF,25000,231613
65,Niger,NER,Africa,6/1/2011,9/1/2011,2011,Population movement ,Human related,DREF,30000,250318
66,Zimbabwe,ZWE,Africa,7/1/2011,12/1/2011,2011,Cholera,Natural Biological,DREF,30000,226353
67,Namibia,NAM,Africa,4/1/2011,9/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,37457,1811530
69,Vietnam,VNM,Asia Pacific,11/1/2011,10/1/2012,2011,Mekong Delta floods,Natural Hydrometeorologic hydrological,Emergency appeal,42000,1107185
70,Uganda,UGA,Africa,7/1/2011,10/1/2011,2011,Flood and landslides,Natural Hydrometeorologic hydrological,DREF,59090,185962
71,Turkey,TUR,Europe,11/1/2011,11/1/2012,2011,Van Earthquake,Natural Geophysical,Emergency appeal,60000,9402445
73,Nigeria,NGA,Africa,7/1/2011,9/1/2011,2011,Cholera Outberak,Natural Biological,DREF,69000,92995
74,Uganda,UGA,Africa,11/1/2011,021/2012,2011,Cholera Epidemic,Natural Biological,DREF,72140,156962
75,Philippines,PHL,Asia Pacific,12/1/2011,1/1/2012,2011,Tropical Storm Washi,Natural Hydrometeorologic meteorological,Emergency appeal,100000,5705280
77,Sri Lanka,LKA,Asia Pacific,1/1/2011,1/1/2012,2011,Floods and landslides,Natural Hydrometeorologic hydrological,Emergency appeal,75000,4622804
78,Kenya,KEN,Africa,11/1/2011,11/1/2012,2011,Population movement,Human related,Emergency appeal,110000,26854197
79,Cameroon,CMR,Africa,4/1/2011,3/1/2012,2011,cholera Outbreak,Natural Biological,Emergency appeal,87500,1361331
81,Ghana,GHA,Africa,12/1/2011,3/1/2012,2011,Yellow Fever,Natural Biological,DREF,100000,86464
82,Pakistan,PAK,Asia pacific,9/1/2011,3/1/2012,2011,Floods 2011,Natural Hydrometeorologic hydrological,Emergency appeal,105000,5304193
83,Chad,TCD,Africa,4/1/2011,7/1/2011,2011,Cholera Epidemic,Natural Biological,DREF,116400,190875
84,Philippines,PHL,Asia pacific,11/1/2011,9/1/2012,2011,Typhoon Nesat,Natural Hydrometeorologic meteorological,Emergency appeal,125000,3550719
85,Vietnam,VNM,Asia Pacific,8/1/2011,2/1/2012,2011,"Hand, Foot and Mouth disease",Natural Biological,DREF,144995,127222
86,Somalia,SOM,Africa,9/1/2011,12/1/2012,2011,Drought,Natural Hydrometeorologic climatological,Emergency appeal,150000,4158792
87,Senegal,SEN,Africa,12/1/2011,3/1/2012,2011,Yellow Fever,Natural Biological,DREF,153476,72948
88,Ethiopia,ETH,Africa,9/1/2011,8/1/2012,2011,Drought,Natural Hydrometeorologic climatological,Emergency appeal,570000,28408085
89,South Sudan,SSD,Africa,7/1/2011,2/1/2012,2011,Complex emergency,Human related,Emergency appeal,173000,6188106
90,Chad,TCD,Africa,11/1/2011,2/1/2012,2011,Cholera,Natural Biological,Emergency appeal,200000,1854041
92,Uganda,UGA,Africa,6/1/2011,9/1/2011,2011,Hepatitis E Epidemic Karamoja,Natural Biological,DREF,280000,175028
93,Niger,NER,Africa,12/1/2011,10/1/2012,2011,Food insecurity,Human related,Emergency appeal,350000,3756836
94,Cameroon,CMR,Africa,12/1/2011,4/1/2012,2011,Polio,Natural Biological,DREF,421000,129083
96,Chad,TCD,Africa,4/1/2011,7/1/2011,2011,Meningitis Epidemic ,Natural Biological,DREF,650000,73950
97,Mali,MLI,Africa,8/1/2011,11/1/2011,2011,Cholera outbreak,Natural Biological,DREF,699100,
99,Kenya,KEN,Africa,4/1/2011,7/1/2011,2011,Measles Outbreak ,Natural Biological,DREF,814904,299869
101,Kenya,KEN,Africa,1/1/2011,10/1/2012,2011,Drought,Natural Hydrometeorologic climatological,Emergency appeal,1000000,30438354
104,Central African Republic,CAF,Africa,10/1/2011,12/1/2011,2011,Cholera Oubreak,Natural Biological,DREF,1500000,238333
105,Uganda,UGA,Africa,5/1/2011,8/1/2011,2011,Ebola Hemorrhagic fever,Natural Biological,DREF,1731900,133744
106,Kenya,KEN,Africa,11/1/2011,12/1/2011,2011,Polio Outbreak,Natural Biological,DREF,2122964,314019
107,Uganda,UGA,Africa,1/1/2011,4/1/2011,2011,Yellow fever epidemic,Natural Biological,DREF,2135700,195182
108,Bangladesh,BGD,Asia Pacific,7/1/2011,12/1/2011,2011,Monsoon Floods,Natural Hydrometeorologic hydrological,Emergency appeal,7300000,2148592
109,Russia,RUS,Europe,6/1/2011,7/1/2011,2011,Forest Fire Imminent Crisis,Natural Hydrometeorologic climatological,DREF,missing data,33015
110,Maldives,MDV,Asia Pacific,7/1/2011,10/1/2011,2011,Dengue Outbreak,Natural Biological,DREF,missing data,42600
112,Guatemala,GTM,Americas,6/1/2010,5/1/2011,2010,Tropical storm agatha,Natural Hydrometeorologic meteorological,Emergency appeal,7500,1286382
114,Panama,PAN,Americas,11/1/2010,6/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,12725,701023
115,Vietnam,VNM,Asia Pacific,10/1/2010,9/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,28500,1070620
116,Panama,PAN,Americas,11/1/2010,1/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,12725,701023
120,Serbia,SRB,Europe,11/1/2010,6/1/2011,2010,Earthquake,Natural Geophysical,Emergency appeal,8000,409759
121,Sudan,SDN,Africa,12/1/2010,1/1/2011,2010,Preparedness for Civil Unrest ,Human related,Emergency appeal,105000,3030275
123,Philippines,PHL,Asia Pacific,10/1/2010,7/1/2011,2010,Typhoon Megi ,Natural Hydrometeorologic meteorological,Emergency appeal,60000,4183640
124,Sudan,SDN,Africa,10/1/2010,3/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,51354,2318438
125,Niger,NER,Africa,3/1/2010,6/1/2011,2010,Food Insecurity ,Human related,Emergency appeal,29890,3670686
127,Indonesia,IDN,Asia Pacific,10/1/2010,6/1/2011,2010,"Java eruption, Sumatra earthquake and tsunami ",Natural Geophysical,Emergency appeal,103750,5038981
128,Chad,TCD,Africa,10/1/2010,3/1/2011,2010,Flood and Cholera ,Natural Hydrometeorologic and Biological,Emergency appeal,31675,1283953
129,Kenya,KEN,Africa,3/1/2010,4/1/2011,2010,Drought,Natural Hydrometeorologic climatological,Emergency appeal,293000,2056046
131,Nepal,NPL,Asia Pacific,5/1/2010,2/1/2011,2010,Potential diarrhoea outbreak ,Natural Biological,Emergency appeal,312000,738960
132,Tanzania,TZA,Africa,1/1/2010,12/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,23000,923594
134,Benin,BEN,Africa,10/1/2010,1/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,10000,183673
135,Ghana,GHA,Africa,10/1/2010,1/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,7500,122297
136,Togo,TGO,Africa,10/1/2010,1/1/2011,2010,Floods ,Natural Hydrometeorologic hydrological,DREF,8750,244001
137,Senegal,SEN,Africa,8/1/2010,11/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,7500,180396
138,Guinea,GIN,Africa,10/1/2010,1/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,5000,174302
139,Mali,MLI,Africa,9/1/2010,12/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,5840,253865
140,Nigeria,NGA,Africa,10/1/2010,1/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,15000,301288
141,Costa Rica,CRI,Americas,12/1/2010,3/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,5000,92709
142,Belize,BLZ,Americas,1/1/2010,4/1/2011,2010,Hurricane Richard,Natural Hydrometeorologic meteorological,DREF,1250,53996
143,Bosnia and Herzegovina,BIH,Europe,12/1/2010,4/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,5800,218932
144,Montenegro,MNE,Europe,12/1/2010,4/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,6630,111031
145,Serbia,SRB,Europe,12/1/2010,4/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,4000,59800
146,Jamaica,JAM,Americas,9/1/2010,5/1/2011,2010,Tropical Storm Nicole,Natural Hydrometeorologic meteorological,DREF,2500,150644
147,Niger,NER,Africa,8/1/2010,4/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,10500,242119
148,Uganda,UGA,Africa,12/1/2010,1/1/2011,2010,Polio Outbreak,Natural Biological,DREF,1200000,166628
149,Kenya,KEN,Africa,11/1/2010,4/1/2011,2010,Population Movement,Human related,DREF,14072,253952
150,Russia,RUS,Europe,10/1/2010,5/1/2011,2010,Flood,Natural Hydrometeorologic hydrological,DREF,3000,88725
151,Cameroon,CMR,Africa,6/1/2010,4/1/2011,2010,Cholera epidemic,Natural Biological,DREF,800000,381154
152,Nicaragua,NIC,Americas,9/1/2010,4/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,5000,242122
154,South Africa,ZAF,Africa,4/1/2010,3/1/2011,2010,Rift Valley Fever,Natural Biological,DREF,15000,41159
155,China,CHN,Asia Pacific,8/1/2010,1/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,20000,493628
156,Cameroon,CMR,Africa,8/1/2010,2/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,3000,153062
157,Myanmar,MMR,Asia Pacific,10/1/2010,2/1/2011,2010,Cyclone Giri,Natural Hydrometeorologic meteorological,DREF,18750,250000
158,Central African Republic,CAF,Africa,8/1/2010,2/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,6144,145252
159,India,IND,Asia Pacific,8/1/2010,12/1/2010,2010,Flash Floods,Natural Hydrometeorologic hydrological,DREF,40000,54543
160,Indonesia,IDN,Asia Pacific,8/1/2010,10/1/2010,2010,"Volcano Eruption, Sinabung",Natural Geophysical,DREF,5000,143243
161,Gabon,GAB,Africa,6/1/2010,2/1/2011,2010,Chikungunya and Dengue fever epidemics,Natural Biological,DREF,49009,153013
163,Panama,PAN,Americas,7/1/2010,1/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,1100,38171
165,South Africa,ZAF,Africa,9/1/2010,10/1/2010,2010,Urban Violence,Human related,DREF,177,213905
166,Mauritania,MRT,Africa,9/1/2010,6/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,5000,157253
167,Kyrgyzstan,KGZ,Europe,6/1/2010,10/1/2010,2010,Mudslides,Natural Hydrometeorologic hydrological,DREF,2835,100044
168,Nicaragua,NIC,Americas,6/1/2010,12/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,750,36248
169,Ghana,GHA,Africa,7/1/2010,12/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,5000,134948
170,Namibia,NAM,Africa,4/1/2010,7/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,23782,156983
171,Moldova,MDA,Europe,7/1/2010,12/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,8000,188100
172,Mozambique,MOZ,Africa,3/1/2010,6/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,10000,282067
173,Ukraine,UKR,Europe,1/1/2010,10/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,3500,244126
174,Ethiopia,ETH,Africa,5/1/2010,11/1/2010,2010,Election preparedness,Human related,DREF,3000,33015
175,Ethiopia,ETH,Africa,2/1/2010,8/1/2011,2010,Severe Food Shortages,Human related,Emergency appeal,202651,30579088
176,Sri Lanka,LKA,Asia Pacific,4/1/2010,7/1/2012,2010,Support for internally displaced people,Human related,Emergency appeal,25000,3604299
177,Cambodia,KHM,Asia Pacific,10/1/2010,11/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,49520,308682
178,Pakistan,PAK,Asia Pacific,3/1/2010,7/1/2010,2010,Internally displaced people,Human related,Emergency appeal,42000,3635713
179,Gabon,GAB,Africa,4/1/2010,8/1/2010,2010,Violent wind in Mouila,Natural Hydrometeorologic meteorological,DREF,1150,78480
180,Burkina Faso,BFA,Africa,4/1/2010,12/1/2010,2010,Meningitis,Natural Biological,DREF,500000,172928
181,Indonesia,IDN,Asia Pacific,5/1/2010,10/1/2011,2010,Yogyakarta Earthquake,Natural Geophysical,Emergency appeal,325000,32667430
182,Cameroon,CMR,Africa,2/1/2010,6/1/2010,2010,Measles in the Chadian Refugees' camp at Langui,Natural Biological,DREF,16561,51028
183,Honduras,HND,Americas,1/1/2010,11/1/2010,2010,Dengue Outbreak,Natural Biological,DREF,35065,34505
184,Equatorial Guinea,GNQ,Africa,4/1/2010,11/1/2010,2010,Fire in Malabo,Natural Hydrometeorologic climatological,DREF,250,36139
185,Kyrgyzstan,KGZ,Europe,6/1/2010,11/1/2010,2010,Poliomyelitis1,Natural Biological,DREF,227000,81579
186,Pakistan,PAK,Asia Pacific,6/1/2010,10/1/2010,2010,Hunza landslides and floods,Natural Hydrometeorologic hydrological,DREF,14700,187128
187,Tajikistan,TJK,Europe,5/1/2010,10/1/2010,2010,Floods and mudslides,Natural Hydrometeorologic hydrological,DREF,1200,184879
188,Serbia,SRB,Europe,3/1/2010,9/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,3150,286219
189,Uganda,UGA,Africa,5/1/2010,7/1/2010,2010,Cholera,Natural Biological,DREF,145000,178676
190,Morocco,MAR,Middle East and North Africa,3/1/2010,6/1/2010,2010,Flash floods,Natural Hydrometeorologic hydrological,DREF,10000,200000
191,Egypt,EGY,Middle East and North Africa,1/1/2010,7/1/2010,2010,Flash floods,Natural Hydrometeorologic hydrological,DREF,3500,257914
193,Pakistan,PAK,Asia Pacific,6/1/2010,6/1/2010,2010,Cyclone PHET and floods,Natural Hydrometeorologic hydrological,DREF,7000,50001
195,Kazakhstan,KAZ,Europe,3/1/2010,8/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,8640,134552
197,Tajikistan,TJK,Europe,1/1/2010,5/1/2010,2010,Earthquake,Natural Geophysical,DREF,980,132022
198,Albania,ALB,Europe,1/1/2010,5/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,11000,302500
199,Madagascar,MDG,Africa,2/1/2010,11/1/2010,2010,Chikungunya Epidemic,Natural Biological,DREF,44000,34879
200,Madagascar,MDG,Africa,3/1/2010,11/1/2010,2010,Cyclone Hubert,Natural Hydrometeorologic meteorological,DREF,25000,280171
201,Mozambique,MOZ,Africa,4/1/2010,7/1/2010,2010,Cholera Outbreak,Natural Biological,DREF,15000,124385
202,Zambia,ZMB,Africa,2/1/2010,10/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,15000,155620
203,Rwanda,RWA,Africa,4/1/2010,11/1/2010,2010,Rubavu Landslide,Natural Hydrometeorologic hydrological,DREF,5920,177163
204,Uganda,UGA,Africa,3/1/2010,4/1/2010,2010,Floods and Landslides in Eastern Uganda,Natural Hydrometeorologic hydrological,DREF,13000,256963
205,Montenegro,MNE,Europe,1/1/2010,4/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,1100,83930
207,Kenya,KEN,Africa,5/1/2010,10/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,141164,8757898
208,Uzbekistan,UZB,Europe,6/1/2010,12/1/2010,2010,Population movement,Human related,Emergency appeal,100000,1166159
209,Kyrgyzstan,KGZ,Europe,6/1/2010,5/1/2011,2010,Civil Unrest,Human related,Emergency appeal,5265,965069
210,Mongolia,MNG,Asia Pacific,3/1/2010,10/1/2010,2010,Severe Winter,Natural Hydrometeorologic climatological,Emergency appeal,13600,1312670
211,Montenegro,MNE,Europe,11/1/2010,2/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,DREF,1350,50255
213,Chad,TCD,Africa,4/1/2010,12/1/2010,2010,Food Crisis,Human related,Emergency appeal,400425,1252369
214,Thailand,THA,Asia Pacific,10/1/2010,12/1/2010,2010,Monsoon Floods,Natural Hydrometeorologic hydrological,DREF,11832,356617
215,Uganda,UGA,Africa,7/1/2010,9/1/2010,2010,Bomb Blast,Technological Miscellaneous accident,DREF,400000,112097
217,Chile,CHL,Americas,2/1/2010,3/1/2013,2010,Earthquake,Natural Geophysical,Emergency appeal,50000,16075870
218,Haiti,HTI,Americas,1/1/2010,12/1/2014,2010,Earthquake,Natural Geophysical,Emergency appeal,400000,247279612
219,Pakistan,PAK,Asia Pacific,8/1/2010,7/1/2011,2010,Moonson Floods,Natural Hydrometeorologic hydrological,Emergency appeal,1600000,129768678
220,Syria,SYR,Middle East and North Africa,1/1/2010,12/1/2010,2010,Population Displaced From Iraq,Human related,Emergency appeal,68000,3216107
221,Venezuela,VEN,Americas,12/1/2010,8/1/2011,2010,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,12500,575146
223,Antigua and barbuda,ATG,americas,9/1/2010,12/1/2010,2010,Hurricane Earl,Natural Hydrometeorologic meteorological,DREF,525,51127
224,Albania,ALB,Europe,12/1/2010,3/1/2011,2010,SHKODRA FLOODS,Natural Hydrometeorologic hydrological,DREF,12000,
226,Bangladesh,BGD,Asia Pacific,1/1/2010,3/1/2010,2010,Cold wave,Natural Hydrometeorologic climatological,DREF,50000,
227,Bangladesh,BGD,Asia Pacific,4/1/2010,8/1/2010,2010,Tropical storm,Natural Hydrometeorologic meteorological,DREF,22500,
228,Bangladesh,BGD,Asia Pacific,6/1/2010,9/1/2010,2010,Landslides,Natural Hydrometeorologic hydrological,DREF,6500,
229,Burundi,BDI,Africa,4/1/2010,8/1/2010,2010,Election preparedness,Human related,DREF,60000,
230,Brazil,BRA,Americas,4/1/2010,7/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,15000,
231,Costa Rica,CRI,Americas,11/1/2010,2/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,3020,
232,Ethiopia,ETH,Africa,9/1/2010,11/1/2010,2010,Floods,Natural Hydrometeorologic hydrological,DREF,25000,
233,Honduras,HND,Americas,6/1/2010,8/1/2010,2010,Tropical Storm,Natural Hydrometeorologic meteorological,DREF,2460,
235,Lebanon,LBN,Middle East and North Africa,2/1/2010,5/1/2010,2010,Plain Crash,Technological Transport accident ,DREF,23701,
237,Russia,RUS,Europe,8/1/2010,12/1/2010,2010,Wild fire,Natural Hydrometeorologic climatological,DREF,5067,
238,Russia,RUS,Europe,5/1/2010,11/1/2010,2010,Mine Blast,Technological Miscellaneous accident,DREF,250,
239,Malawi,MWI,Africa,12/1/2010,9/1/2010,2010,Measles epidemic,Natural Biological,DREF,80000,125701
240,Gabon,GAB,Africa,4/20/2009,,2009,Violent winds,Natural Hydrometeorologic meteorological,DREF,800,58070
241,Haiti,HTI,Americas,9/1/2009,5/1/2010,2009,Floods,Natural Hydrometeorologic hydrological,DREF,815,50118
242,Russia,RUS,Europe,12/1/2009,7/1/2010,2009,Fire,Technological Miscellaneous accident,DREF,1000,29592
243,Central African Republic,CAF,Africa,5/4/2009,10/1/2009,2009,"Violent winds in Kembe, Grimari, Zangba, Mboki, Obo and Mbaïki",Natural Hydrometeorologic meteorological,DREF,1230,81924
244,Panama,PAN,Americas,11/1/2009,2/1/2010,2009,Floods,Natural Hydrometeorologic hydrological,DREF,1250,55038
245,Central African Republic,CAF,Africa,2/2/2009,,2009,Storm in Bangui,Natural Hydrometeorologic meteorological,DREF,1390,91644
246,Russia,RUS,Europe,7/1/2009,9/1/2010,2009,Explosion,Technological Industrial accident,DREF,2100,29973
248,Haiti,HTI,Americas,11/1/2009,5/1/2010,2009,Floods,Natural Hydrometeorologic hydrological,DREF,2500,105656
